combo,seed,ja4_full,ja4_a,ja4_b,ja4_c,ja4_a_changed,ja4_b_changed,ja4_c_changed,cipher_count,ext_count,sigalg_count,tls_handshake_ok
QuickDefault,19,t13d1716h2_5b57614c22b0_62d11ef0b1cd,t13d1716h2,5b57614c22b0,62d11ef0b1cd,False,False,True,17,16,9,True
QuickDefault,20,t13d1716h2_5b57614c22b0_bfbcbbaad0f6,t13d1716h2,5b57614c22b0,bfbcbbaad0f6,False,False,True,17,16,9,True
QuickDefault,21,t13d1716h2_5b57614c22b0_6915bb0c87f0,t13d1716h2,5b57614c22b0,6915bb0c87f0,False,False,True,17,16,9,True
QuickDefault,22,t13d1716h2_5b57614c22b0_c10aa4a4536d,t13d1716h2,5b57614c22b0,c10aa4a4536d,False,False,True,17,16,9,True
QuickDefault,23,t13d1716h2_5b57614c22b0_2046cdaa18f6,t13d1716h2,5b57614c22b0,2046cdaa18f6,False,False,True,17,16,9,True
QuickDefault,24,t13d1716h2_5b57614c22b0_561bf8e4e031,t13d1716h2,5b57614c22b0,561bf8e4e031,False,False,True,17,16,9,True
QuickDefault,25,t13d1716h2_5b57614c22b0_c8b96d5458f8,t13d1716h2,5b57614c22b0,c8b96d5458f8,False,False,True,17,16,9,True
QuickDefault,26,t13d1716h2_5b57614c22b0_b6c90937efac,t13d1716h2,5b57614c22b0,b6c90937efac,False,False,True,17,16,9,True
QuickDefault,27,t13d1716h2_5b57614c22b0_d5694041d809,t13d1716h2,5b57614c22b0,d5694041d809,False,False,True,17,16,9,True
QuickDefault,28,t13d1716h2_5b57614c22b0_3a2285d2513e,t13d1716h2,5b57614c22b0,3a2285d2513e,False,False,True,17,16,9,True
QuickDefault,29,t13d1716h2_5b57614c22b0_bac2fdc5422f,t13d1716h2,5b57614c22b0,bac2fdc5422f,False,False,True,17,16,9,True
Permute,0,t13d1716h2_5b57614c22b0_4b98dd4c5ff4,t13d1716h2,5b57614c22b0,4b98dd4c5ff4,False,False,True,17,16,9,True
Permute,1,t13d1716h2_5b57614c22b0_164e3cfb6cc3,t13d1716h2,5b57614c22b0,164e3cfb6cc3,False,False,True,17,16,9,True
Permute,2,t13d1716h2_5b57614c22b0_f0d4ec40db0e,t13d1716h2,5b57614c22b0,f0d4ec40db0e,False,False,True,17,16,9,True
Permute,3,t13d1716h2_5b57614c22b0_f0d853987bb1,t13d1716h2,5b57614c22b0,f0d853987bb1,False,False,True,17,16,9,True
Permute,4,t13d1716h2_5b57614c22b0_6e6aee8c18a0,t13d1716h2,5b57614c22b0,6e6aee8c18a0,False,False,True,17,16,9,True
